1.78, 10.9975, -2.78246, 13.59, 5.23917, -3.03168, -16, 13.64, 0.33
1.8, 10.7465, -2.89346, 13.45, 5.20268, -2.83735, 16, 13.65, 0.77
1.82, 10.4855, -3.16448, 13.46, 5.1094, -3.54992, 0, 13.23, 0.77
1.84, 10.2148, -3.01516, 13.04, 5.06711, -4.19772, 32, 13.37, 0.58
1.86, 9.93494, -3.43506, 13.18, 4.96181, -3.67948, 16, 13.56, 1.59
1.88, 9.64637, -3.91363, 13.37, 4.91123, -4.45684, 16, 13.35, 1.76
1.9, 9.34974, -4.00026, 13.16, 4.78312, -4.06816, 0, 13.65, 1.09
1.92, 9.04573, -4.60427, 13.46, 4.74083, -5.55809, 32, 13.52, 1.11
1.94, 8.73512, -4.78488, 13.33, 4.57665, -4.97507, 16, 12.84, 0.9
1.96, 8.41875, -4.42125, 12.65, 4.54224, -4.06816, 16, 12.97, 0.87
1.98, 8.09751, -4.87249, 12.78, 4.39755, -4.52162, 16, 11.91, 0.72
2, 7.77238, -4.13762, 11.72, 4.35485, -3.35558, -16, 11.85, 0.61
2.02, 7.44437, -4.40563, 11.66, 4.2284, -2.96691, 0, 11.82, 0.71
2.04, 7.11457, -4.70543, 11.63, 4.18404, -4.65117, 16, 11.58, 0.7
2.06, 6.7841, -4.7959, 11.39, 4.02027, -4.52162, 0, 11.67, 0.91
2.08, 6.45411, -5.21589, 11.48, 3.9726, -6.01155, 0, 11.65, 1.07
2.1, 6.12579, -5.52421, 11.46, 3.78437, -5.88199, 0, 10.73, 1.06
2.12, 5.80036, -4.92964, 10.54, 3.74582, -3.42036, 16, 10.76, 1.03
2.14, 5.47906, -5.28094, 10.57, 3.5891, -3.16124, -16, 10.08, 0.86
2.16, 5.16313, -4.91687, 9.89, 3.55262, -4.2625, 0, 9.87, 0.94
2.18, 4.85381, -5.01619, 9.68, 3.37103, -5.23419, 0, 10.01, 0.19
2.2, 4.55234, -5.45766, 9.82, 3.33579, -6.85368, 0, 9.88, 0.32
2.22, 4.25996, -5.62004, 9.69, 3.13139, -6.27066, 32, 9.3, 359.06
2.24, 3.97787, -5.32213, 9.11, 3.0945, -6.20588, 16, 9.22, 359.16
